id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Jerónimo;Ruíz Ruíz;Josefina_EsquibelJurado@hotmail.com;corny;2023-10-28T01:03:16;4688;12265
2;Carlos;Alonso Rendón;Mateo96@yahoo.com;instead;2023-10-28T03:34:15;28762;28993
3;Ana;Galindo Palomo;Manuel.NoriegaBlanco4@gmail.com;inhibit;2023-10-27T21:29:43;13963;26542
4;Sonia;Duarte Garza;JoseMaria.MoralesLara64@hotmail.com;triangular warmhearted;2023-10-28T06:09:24;20002;10393
5;Conchita;Quintana Rosas;Guadalupe_MunizArchuleta93@hotmail.com;absent;2023-10-28T01:51:46;23083;17214
6;Amalia;Juárez Colunga;Armando_UrenaArroyo@yahoo.com;sup indeed filter;2023-10-28T12:49:51;29464;5393
7;Daniel;Jasso Córdova;Victor_CornejoUribe52@hotmail.com;whoever;2023-10-28T05:42:24;23856;7530
8;Leticia;López Saldivar;Cristobal63@yahoo.com;upon burly administration;2023-10-28T01:56:48;1323;26675
9;Cristina;Meraz Segura;Victor58@hotmail.com;zowie;2023-10-28T04:08:12;16096;4465
10;Armando;Palacios Sarabia;Felipe.GastelumMedina55@yahoo.com;each;2023-10-28T10:07:30;28355;32106
